2025-06-02 22:21:10,729 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:40,774 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:25:31,433 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:27:58,355 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 22:28:20,380 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 22:28:42,404 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:31:10,636 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:31:21,508 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:32:11,152 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:35:51,375 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:39:47,623 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:39:51,032 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:44:59,231 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:46:10,573 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:48:20,246 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 22:51:11,676 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:53:00,653 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:55:13,524 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 22:55:23,538 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:59:02,598 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:03:22,460 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 23:03:24,601 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 23:03:25,603 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:03:26,339 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:03:27,652 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:03:29,625 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:11:43,697 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:12:00,537 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:15:26,681 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:18:11,579 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:19:36,583 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 23:22:45,788 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:22:51,502 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:23:47,606 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 23:32:36,764 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 23:32:36,930 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 23:36:00,818 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
