2025-06-03 02:12:09,749 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3dd9e38406924c290806')}
2025-06-03 02:12:09,973 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3dd9e38406924c290807')}
2025-06-03 02:12:10,215 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddae38406924c290808')}
2025-06-03 02:12:10,353 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddae38406924c290809')}
2025-06-03 02:12:13,061 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080a')}
2025-06-03 02:12:13,187 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080b')}
2025-06-03 02:12:13,297 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080c')}
2025-06-03 02:12:13,405 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080d')}
2025-06-03 02:12:13,503 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080e')}
2025-06-03 02:12:13,605 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c29080f')}
2025-06-03 02:12:13,743 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c290810')}
2025-06-03 02:12:13,855 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c290811')}
2025-06-03 02:12:13,977 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddde38406924c290812')}
2025-06-03 02:12:14,161 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddee38406924c290813')}
2025-06-03 02:12:15,333 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddfe38406924c290814')}
2025-06-03 02:12:15,593 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3ddfe38406924c290815')}
2025-06-03 02:12:16,674 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3de0e38406924c290816')}
